V4_0,Time_codelist,Time,Geography_codelist,Geography,Age_codelist,Age,Sex_codelist,Sex
12201,Year,2016,N92000002,Northern Ireland,22,22,1,Male
23785,Year,2016,N92000002,Northern Ireland,22,22,0,All
12191,Year,2013,N92000002,Northern Ireland,22,22,2,Female
12475,Year,2013,N92000002,Northern Ireland,22,22,1,Male
24666,Year,2013,N92000002,Northern Ireland,22,22,0,All
12131,Year,2014,N92000002,Northern Ireland,22,22,2,Female
12377,Year,2014,N92000002,Northern Ireland,22,22,1,Male
24508,Year,2014,N92000002,Northern Ireland,22,22,0,All
11747,Year,2015,N92000002,Northern Ireland,22,22,2,Female
12091,Year,2015,N92000002,Northern Ireland,22,22,1,Male
23838,Year,2015,N92000002,Northern Ireland,22,22,0,All
11794,Year,2016,N92000002,Northern Ireland,23,23,2,Female
23815,Year,2016,N92000002,Northern Ireland,23,23,0,All
12021,Year,2016,N92000002,Northern Ireland,23,23,1,Male
12289,Year,2013,N92000002,Northern Ireland,23,23,2,Female
12426,Year,2013,N92000002,Northern Ireland,23,23,1,Male
24715,Year,2013,N92000002,Northern Ireland,23,23,0,All
12295,Year,2014,N92000002,Northern Ireland,23,23,2,Female
12377,Year,2014,N92000002,Northern Ireland,23,23,1,Male
24672,Year,2014,N92000002,Northern Ireland,23,23,0,All
12246,Year,2015,N92000002,Northern Ireland,23,23,2,Female
12391,Year,2015,N92000002,Northern Ireland,23,23,1,Male
24637,Year,2015,N92000002,Northern Ireland,23,23,0,All
12242,Year,2016,N92000002,Northern Ireland,24,24,2,Female
12292,Year,2016,N92000002,Northern Ireland,24,24,1,Male
24534,Year,2016,N92000002,Northern Ireland,24,24,0,All
12290,Year,2013,N92000002,Northern Ireland,24,24,2,Female
24625,Year,2013,N92000002,Northern Ireland,24,24,0,All
12335,Year,2013,N92000002,Northern Ireland,24,24,1,Male
12323,Year,2014,N92000002,Northern Ireland,24,24,2,Female
12366,Year,2014,N92000002,Northern Ireland,24,24,1,Male
24689,Year,2014,N92000002,Northern Ireland,24,24,0,All
12404,Year,2015,N92000002,Northern Ireland,24,24,2,Female
12377,Year,2015,N92000002,Northern Ireland,24,24,1,Male
24781,Year,2015,N92000002,Northern Ireland,24,24,0,All
12380,Year,2016,N92000002,Northern Ireland,25,25,2,Female
12334,Year,2016,N92000002,Northern Ireland,25,25,1,Male
24714,Year,2016,N92000002,Northern Ireland,25,25,0,All
12491,Year,2013,N92000002,Northern Ireland,25,25,2,Female
12309,Year,2013,N92000002,Northern Ireland,25,25,1,Male
24800,Year,2013,N92000002,Northern Ireland,25,25,0,All
12282,Year,2014,N92000002,Northern Ireland,25,25,2,Female
12273,Year,2014,N92000002,Northern Ireland,25,25,1,Male
24555,Year,2014,N92000002,Northern Ireland,25,25,0,All
12278,Year,2015,N92000002,Northern Ireland,25,25,2,Female
12310,Year,2015,N92000002,Northern Ireland,25,25,1,Male
24588,Year,2015,N92000002,Northern Ireland,25,25,0,All
12293,Year,2016,N92000002,Northern Ireland,26,26,2,Female
